"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan","days to resurrection",student_id,"original subscription ID","resurrected subscription ID"
"2021-08-07 00:00:00","2022-07-22 00:00:00","2021-07-16 10:01:08","2021-08-27 12:57:14","2021-08-16 00:00:00","2022-08-27 00:00:00","2021-08-16 00:00:00","2022-08-27 00:00:00",monthly,annually,11,160705,5279,5279
NULL,NULL,"2021-01-28 23:44:54","2021-08-27 13:58:18","2021-07-30 00:00:00",NULL,"2021-07-09 03:00:00","2023-08-27 00:00:00",annually,annually,28,9409,5283,5283
NULL,NULL,"2021-05-30 19:30:58","2021-08-29 19:50:56","2021-07-05 00:00:00","2021-10-03 00:00:00","2021-06-30 00:00:00","2021-09-29 00:00:00",monthly,monthly,55,29303,5298,5298
"2021-06-28 00:00:00",NULL,"2021-01-28 23:44:54","2021-08-30 16:18:01","2021-07-27 00:00:00","2022-09-08 00:00:00","2021-07-27 00:00:00","2022-08-30 00:00:00",monthly,annually,34,2764,5309,5309
NULL,"2022-11-30 00:00:00","2021-01-28 23:46:34","2021-08-31 02:13:19","2021-04-06 00:00:00","2023-11-30 00:00:00","2021-03-31 03:00:00","2023-11-30 00:00:00",annually,annually,147,2495,5319,5319
"2021-07-29 00:00:00","2022-08-30 00:00:00","2021-01-28 23:44:53","2021-08-31 15:33:45","2021-08-03 00:00:00","2022-08-31 00:00:00","2021-08-03 03:00:00","2022-08-31 00:00:00",annually,annually,28,13538,5329,5329
NULL,NULL,"2021-03-30 20:03:15","2021-08-31 18:47:00","2021-04-23 00:00:00",NULL,"2022-03-30 00:00:00","2023-02-01 00:00:00",annually,annually,130,146990,5331,5331
"2021-08-21 00:00:00","2021-09-27 00:00:00","2021-07-26 10:09:36","2021-09-01 13:27:35","2021-08-26 00:00:00","2021-10-01 00:00:00","2021-08-26 00:00:00","2021-10-01 00:00:00",monthly,monthly,6,161118,5341,5341
"2021-08-04 00:00:00","2021-11-03 00:00:00","2021-04-07 09:41:22","2021-09-02 08:33:26","2021-08-07 00:00:00","2021-12-02 00:00:00","2021-08-07 00:00:00","2021-12-02 00:00:00",monthly,monthly,26,148222,5345,5345
NULL,NULL,"2021-07-23 20:49:41","2021-09-07 23:46:12","2021-08-27 00:00:00","2021-10-11 00:00:00","2021-08-23 00:00:00","2021-10-07 00:00:00",monthly,monthly,11,161362,5375,5375
NULL,NULL,"2021-01-28 23:44:54","2021-09-09 14:41:46","2021-08-03 00:00:00",NULL,"2021-07-23 03:00:00","2023-09-09 00:00:00",annually,annually,37,3698,5383,5383
"2021-02-03 00:00:00","2021-09-19 00:00:00","2021-02-03 06:06:52","2021-09-19 05:46:05","2021-03-03 00:00:00","2021-10-19 00:00:00","2021-03-03 00:00:00","2021-10-19 00:00:00",monthly,monthly,200,143714,5424,5424
NULL,NULL,"2021-01-28 23:44:53","2021-09-21 11:11:19","2021-09-18 00:00:00","2022-09-30 00:00:00","2021-09-09 03:00:00","2022-09-21 00:00:00",annually,annually,3,3291,5443,5443
"2021-05-25 00:00:00","2022-05-09 00:00:00","2021-02-24 03:52:49","2021-09-24 00:57:12","2021-05-25 00:00:00","2022-05-24 00:00:00","2021-06-24 00:00:00","2022-05-24 00:00:00",monthly,monthly,122,145484,5469,5469
"2021-02-07 00:00:00","2021-11-21 00:00:00","2021-01-28 23:44:10","2021-09-24 01:38:03","2021-03-07 00:00:00","2021-11-24 00:00:00","2021-03-07 00:00:00","2021-11-24 00:00:00",monthly,monthly,201,3880,5470,5470
"2021-09-12 00:00:00","2021-10-03 00:00:00","2021-09-12 15:27:31","2021-09-25 13:23:03","2021-09-15 00:00:00","2021-10-25 00:00:00","2022-09-12 00:00:00","2021-10-25 00:00:00",annually,monthly,10,169259,5490,5490
"2020-04-21 03:00:00","2021-09-26 00:00:00","2021-01-28 23:46:06","2021-09-26 11:38:04","2021-04-17 00:00:00","2022-09-26 00:00:00","2021-04-18 03:00:00","2022-09-26 00:00:00",annually,annually,162,23504,5503,5503
NULL,"2022-10-20 00:00:00","2021-07-14 20:35:17","2021-09-26 17:23:09","2021-07-19 00:00:00","2022-10-21 00:00:00","2022-07-14 00:00:00","2023-09-26 00:00:00",annually,annually,69,159621,5511,5511
"2021-08-06 00:00:00","2021-10-26 00:00:00","2021-06-07 13:31:48","2021-09-26 23:46:12","2021-08-07 00:00:00","2021-11-26 00:00:00","2021-08-07 00:00:00","2021-11-26 00:00:00",monthly,monthly,50,156167,5516,5516
NULL,NULL,"2021-01-28 23:44:10","2021-09-27 10:16:54","2021-03-23 00:00:00","2021-12-01 00:00:00","2021-03-19 00:00:00","2021-11-27 00:00:00",monthly,monthly,188,2134,5528,5528
NULL,"2022-10-15 00:00:00","2021-05-31 11:32:20","2021-09-27 19:26:18","2021-06-09 00:00:00","2022-12-27 00:00:00","2022-05-31 00:00:00","2022-12-27 00:00:00",annually,annually,110,156467,5548,5548
